Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Building Blocks Non-Profit Housing Corporation,0,1118 S WASHINGTON AVE LANSING  MI 48910 ,38-3225995,NA,www.cedam.info,517-482-8555,Housing and Shelters,In 1998  a number of Community Development Corporations (CDCs) in Detroit started meeting and exploring the development of a citywide trade association to address common development and policy problems.,CEDAM provides advocacy  resources and training to organizations working to create vibrant communities.,NA,Photo save,NA,517.485.3588,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/CEDAMinfo,CEDAM: The Community Economic Development Association of Michigan does not have any upcoming events.,NA,NA,23/3/2018,
Inter-Cooperative Council at the University of Michigan,0,337 E William St Ann Arbor  MI 48104 ,38-1381476,info@icc.coop,WWW.ICC.COOP,734-662-4414,Housing and Shelters,Democratically run student housing since 1932! Affordable community housing featuring 4 & 8-month contracts  home-cooked meals 5 nights a week  coinless laundry  and so much more! View our houses on line at www.icc.coop,TO PROVIDE AN AFFORDABLE LIVING COMMUNITY IN WHICH EQUAL  AND EDUCATED MEMBERS WORK TOGETHER TO FURTHER THE COOPERATIVE MOVEMENT.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/icc.annarbor/,SPACE WAM!  Saturday  March 24 at 6 PM - 10 PM EDT  530 Elizabeth St  Ann Arbor  Michigan 48104,NA,NA,23/3/2018,
Genesee County Habitat for Humanity,0,101 Burton St Flint  MI 48503 USA,38-2899387,mkato@geneseehabitat.org,www.geneseehabitat.org,810-766-9089,Housing and Shelters,We are an organization invested in providing safe  affordable housing  enriching neighborhoods  strengthening families  and encouraging community building and volunteerism.,Genesee County Habitat for Humanity is a Christian housing ministry  affiliated with Habitat for Humanity International  but controlled locally. It is made up of people who volunteer their time and work to provide decent  affordable homes for persons who could not otherwise afford to buy a home. Habitat is financed through donations of money and materials. Houses are sold at no profit  and no interest  typically over a 20 year period.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Genesee-County-Habitat-for-Humanity-276220264183/?fref=ts,Genesee County Habitat for Humanity does not have any upcoming events.,NA,NA,23/3/2018,
Turning Point  Inc.,0,PO Box 1123 Mount Clemens  MI 48046 USA,38-2292020,scoats@turningpointmacomb.org,www.turningpointmacomb.org,586-463-4430,Housing and Shelters,Nonprofit Organization,Turning Points mission is to provide programs and resources that enable vicitm/survivors of domestic violence and sexual assault to regain control of their lives.,NA,Photo save,158 S. Main Mt. Clemens  48043 ,586.463.6990,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/turningpointmacomb/,NA,NA,NA,23/3/2018,
Alternatives for Girls,0,903 W Grand Blvd Detroit  MI 48208 USA,38-2766412,lmacdonald@alternativesforgirls.org,www.alternativesforgirls.org,313-361-4000,Housing and Shelters,Nonprofit Organization,AFG helps homeless and high-risk girls and young women avoid violence  teen pregnancy and exploitation  and helps them to explore and access the support  resources and opportunities necessary to be safe  to grow strong  and to make positive choices in their lives.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Directors Hall,0,2400 Portage St  Kalamazoo  MI 49001 ,26-4576739,NA,WWW.HERITAGECOMMUNITY.COM,269-382-1255,Housing and Shelters,A not-for-profit organization led by a local volunteer board of directors  we manage our resources in accordance with our mission  and our longstanding values are reflected in our governance and management. We measure success in terms of achieving high standards of excellence in service  and continually strive to ensure that all residents are proud to call our community home.,Since our establishment in 1945  Heritage Community has nurtured a passion for providing the seniors & families of West Michigan with exemplary personalized care. Organized as a nonprofit on principles of honor  community and meaningful living  we understand your desire to continue enjoying life fully. Thats why at Heritage Community we offer different branches of care  tailored to your tastes and needs. Here  you decides what suits you best. Our dedicated staff ensures that whatever your choice  youll find freedom  ease and peace of mind in the coming seasons. Welcome to Heritage Community of Kalamazoo. Local Roots. Vibrant Senior Living.,VOLUNTEERS COME TO HERITAGE FOR MANY REASONS AND IN A VARIETY OF WAYS...Students who are looking to gain experience and knowledge  Family members or residents who are looking to give back  Young adults who simply want to serve Retirees who have talents to share and time to give  From helping in activities like Art and Soul or chair volleyball  to being a one-to-one companion  playing music  providing religious opportunities  our volunteers do it all!  They truly are at the center of the life enrichment we provide for our residents and we couldnt do it without them.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/heritagecommunitykzoo?fref=ts,Heritage Community of Kalamazoo does not have any upcoming events.,NA,NA,23/3/2018,
North Hollywood Senior Citizens Towers Inc,0,8425 E 12 MILE RD WARREN  MI 48093 ,95-3776059,seniorhousing@csi.coop,WWW.CSI.COOP,586-753-9002,Housing and Shelters,A mission-driven non-profit providing affordable rental communities for seniors.,TO PROVIDE HOUSING FACILITIES FOR LOW INCOME SENIOR CITIZENS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/csisupport?fref=ts,CSI Support & Development does not have any upcoming events.,NA,NA,23/3/2018,
Shelter Association of Washtenaw County,0,PO Box 7370 Ann Arbor  MI 48107 USA,38-2533030,shelterassociation@ewashtenaw.org,www.annarborshelter.org,734-662-2829,Housing and Shelters,Our core strategy: The Shelter Association of Washtenaw County provides temporary shelter and supportive services in a safe and caring environment  and works with the community to allocate the necessary resources to meet the needs of people experiencing homelessness.,The Shelter Association serves the largest percentage of those experiencing homelessness in Washtenaw County: single adult men and women. All of our clients share two characteristics: they have no place to live  and they do not currently have the resources to secure and maintain housing. Many of our clients are unable to obtain housing on their own  because they are facing multiple barriers that impede their ability to do so. We offer a variety of services and programs to help individuals who are experiencing homelessness. Services range from providing emergency shelter  referrals for substance abuse treatment  clothing vouchers  transportation  and food to providing health care  housing assistance  and money management.,NA,Photo save,312 W. Huron Ann Arbor  48103 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/DelonisCenter/,Almost Home  Monday  May 21 at 2:30 PM - 8:30 PM EDT  312 W Huron St  Ann Arbor  Michigan 48103,NA,NA,23/3/2018,
Great Lakes Christian Homes Nonprofit Housing Corporation,0,2050 SOUTH WASHINGTON BLVD HOLT  MI 48842 ,51-0139244,info@greatlakesch.org,www.greatlakesch.org,260-749-9655,Housing and Shelters,Great Lakes Christian Homes is a not-for-profit organization that exists for the purpose of meeting the physical  social and spiritual needs of the aging population with support services. ,Great Lakes Christian Homes is a not-for-profit organization and Independent Living Center that exists for the purpose of meeting the physical  social and spiritual needs of the aging population with support services. Great Lakes Christian Homes is designed to provide high quality care and promote the best interest of each person within the home by encouraging people to function physically and intellectually at the highest practical level. We are committed to helping families in any way we can to make a difference in someones life. We offer assistance to foster dignity by promoting activities and nurturing relationships that have meaning for each resident.,NA,Photo save,NA,517-694-3700,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Sugar Springs Property Owners Association Inc,0,5477 WORTHINGTON CT GLADWIN  MI 48624 ,51-0135724,NA,WWW.SUGARSPRINGS.NET,989-426-4111,Housing and Shelters,Nonprofit Organization,"TO PROMOTE THE HEALTH  SAFETY AND WELFARE OF THE RESIDENTS WITHIN THE BOUNDARIES OF THAT CERTAIN REAL ESTATE DEVELOPMENT SITUATED IN GLADWIN COUNTY  MICHIGAN  COMMONLY KNOWN AS ""SUGAR SPRINGS- AND SUCH ADDITIONS THERTO AS MAY HEREAFTER BE BROUGHT WITHIN THE JURISDICTION OF THIS CORPORATION BY ANNEXATION  HEREAFTER REFERRED TO AS ""THE PROPERTIES- AND FOR THIS PURPOSE TO: (A) PROVIDE FOR THE PROTECTION OF THE VALUES  AMENITIES AND QUALITIES IN THE DEVELOPMENT AND FOR THE MAINTENANCE  IMPROVEMENT  POLICING AND PRESERVATION OF COMMON PROPERTIES (GROUNDS OR OPEN SPACE  TRAILS  RECREATIONAL FACILITIES AND THE LIKE); (B) SUPPLEMENT MUNICIPAL SERVICES; (C) FIX ASSESSMENTS TO BE LEVIED AGAINST THE PROPERTIES; (D) ENFORCE ANY AND ALL COVENANTS  RESTRICTIONS AND AGREEMENTS APPLICABLE TO THE PROPERTIES; AND  (E) PAY TAXES  IF ANY  ON THE COMMON PROPERTIES; AND  (F) INSOFAR AS PERMITTED BY LAW  TO DO ANY OTHER THING THAT WILL PROMOTE THE COMMON BENEFIT AND ENJOYMENT OF THE RESIDENTS OF THE PROPERTI",NA,Photo save,NA,989-426-1162,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Home Repair Services of Kent County  Inc.,0,1100 S. Division Ave. Grand Rapids  MI 49507 USA,38-2263817,info@homerepairservices.org,www.homerepairservices.org,616-241-2601,Housing and Shelters,Home Repair Services strengthens vulnerable Kent County homeowners because strong homeowners build strong communities. Home Repair Services is a 501(c)(3) non-profit organization and your contribution is tax-deductible.,Our Mission: Home Repair Services strengthens vulnerable Kent County homeowners because strong homeowners build strong communities. Our Vision: Confident homeowners enjoying vibrant communities.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Elderly Housing Corporation,0,36500 MARQUETTE WESTLAND  MI 48185 ,38-2647789,NA,WWW.TAYLORTOWERS.ORG,734-326-0700,Housing and Shelters,Welcome to Taylor Towers. A premier senior citizen subsidized housing complex located in Westland  Michigan.  Taylor Towers is located behind Westland???s City Hall and within walking distance to William Faust Public Library  Shopping  Banking  Grocery  Restaurants  Parks   and many other Retail Outlets.,Taylor Towers is your answer to retirement living. Low Income Housing  Independent Living  Senior Apartments  Elderly Housing  Senior High-Rise,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Kalamazoo Valley Habitat for Humanity,0,1126 Gull Rd Ste B Kalamazoo  MI 49048 USA,38-2558965,kvhh@net-link.net,www.habitatkalamazoo.org,269-344-2443,Housing and Shelters,We build  renovate  and repair simple  affordable homes each year in partnership with our home buyer families and community volunteers. We are the Kalamazoo area affiliate of Habitat for Humanity International.,Habitat for Humanity is a nonprofit  ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate  affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership  building houses with families in need.,NA,Photo save,7612 S. Westnedge Ave. Portage  MI 49002,269-381-5523,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/KalamazooValleyHabitatforHumanity/,Kalamazoo Valley Habitat for Humanity does not have any upcoming events.,NA,NA,23/3/2018,
Carriage Town Ministries,0,605 Garland St PO Box 318 Flint  MI 48501 ,38-1443378,abeauvais@carriagetown.org,www.carriagetown.org,810-233-8787,Housing and Shelters,"CTM provides compassion to those with acute needs for housing and food and a longer term ""get back on your feet"" residential program with spiritual  educational  and work service training for those ready and willing to work toward productive lives.",Our mission is to provide help  hope and the Good News to our community through the skills and means of Gods people and the transforming power of Christs love.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Carriage-Town-Ministries/160505996263,Carriage Town Ministries does not have any upcoming events.,NA,NA,23/3/2018,
Habitat for Humanity of Oakland County,0,150 Osmun Street Pontiac  MI 48342 USA,38-3244099,meghanc@habitatoakland.org,www.habitatoakland.org,248-338-1843,Housing and Shelters,Habitat for Humanity is a global movement to eliminate poverty by building simple  decent  affordable homes for--and with--people who need adequate housing. Since 1994  donors and volunteers in Oakland County have built or rehabbed affordable  high-quality homes for over 400 of their neighbors.,Seeking to put Gods love into action  Habitat for Humanity of Oakland County brings people together to build homes  communities and hope.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/HabitatforHumanityOC?ref=ts&fref=ts,Drop The Mic: Charity Lip Sync Battle  Tuesday  May 1 at 6:30 PM - 8:30 PM EDT  378 Meadow Brook Rd  Rochester  Michigan 48309,Design Challenge: Innovative Design on a ReStore budget  Wednesday  September 26 at 6 PM - 8:30 PM EDT  28575 Grand River Ave.  Farmington Hills  Michigan 48336,NA,23/3/2018,
Orthodox Detroit Outreach,0,22451 BENJAMIN ST  ST CLR SHORES   MI 48081,45-3140778,events@orthodoxdetroitoutreach.org,http://www.orthodoxdetroitoutreach.org/,+1 313-310-9046,Agriculture  food and nutrition,We are a community of Orthodox Christians from all over the Detroit area committed to serving Christ through service to the needy in our city,We will do this by bringing Detroit-area Orthodox Christians together to perform the work to which Christ called his Church: to feed the hungry and clothe the naked  to look after the sick and visit the incarcerated  to welcome the stranger  to give everything we have for the benefit of those in need.??,Volunteers are encouraged to collect non-perishable food and new or slightly used clothing. We will distribute all food and clothing donated directly to the needy or to ministries that support the needy,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/OrthodoxDetroitOutreach,Every Sunday,NA,NA,26/3/2018,
Gleaners Community Food Bank  Inc.,0,2131 Beaufait  Detroit  MI 48207 USA,38-2156255,siteadmin@gcfb.org,http://www.gcfb.org,??+1 313-923-3535,Agriculture  food and nutrition,Gleaners Community Food Bank  with broad community support  fights hunger in southeastern Michigan.,Each year  Gleaners distributes millions of pounds of food through our network of partner pantries  soup kitchens  shelters  senior centers and other agencies that directly feed hungry people.,We exist to provide households with access to sufficient  nutritious food  and related resources. We accomplish this through collaboration  efficient operations  education  and innovative solutions to achieve a hunger-free community in southeast Michigan.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Gleanersfan/,Monday  March 26  8:30??AM - 10:30??AM (2 hours),Monday  March 26  9??AM - 11:30??AM (2.5 hours),Monday  March 26  9??AM - 1:30??PM (4.5 hours),26/3/2018,
Forgotten Harvest,0,21800 Greenfield Oak Park  MI 48237 USA,38-2926476,schomsky@forgottenharvest.org,http://www.forgottenharvest.org,+1 248-967-1500,Agriculture  food and nutrition,We are dedicated to relieving hunger in metro Detroit and preventing nutritious food waste.,Emergency food pantries  soup kitchens  homeless and domestic shelters  children???s homes  senior centers and group homes,Anyone who is willing to step-up and help us in our mission to end hunger by volunteering their time or making a financial contribution becomes a part of the Team.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/forgottenharvest/,Lipari Food Show Rescue - Suburban Showcase  Wed  Apr 25  2018 - 4:30 PM to 7:30 PM,Warehouse Re-Pack  March 20- March 31 2018 ,Forgotten Harvest Farm  Apr 16 - Apr 30  2018`,26/3/2018,
Food Bank of Eastern Michigan Inc,0,2312 LAPEER RD FLINT  MI 48503,38-2379678,NA,https://www.fbem.org/,8102394441,Agriculture  food and nutrition,The??Food Bank of Eastern Michigan??serves as a common solicitor  storehouse and distributor of food to member non-profit and charitable organizations in??22 counties.,New this year! ??Hops Against Hunger is a coalition of breweries  taprooms  restaurants and good-hearted beer geeks working together to solve hunger in our state. ??Visit the Hops Against Hunger MI website for information about the participating locations and special events in your area.,to solve hunger in our state,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FoodBankofemich/,Warehouse Monday  March 26  2018,Warehouse Tuesday  March 27  2018,Warehouse Wednesday  March 28  2018,26/3/2018,
Feeding America West Michigan,0,864 West River Center Comstock Park  MI 49321 USA,38-2439659,kene@FeedingAmericaWestMichigan.org,https://www.feedwm.org/,+1 616-784-3250,Agriculture  food and nutrition,Feeding America West Michigan exists to ensure safe food is available to the hungry in our community. In 2016  we distributed a record 29.1 million pounds of food  the equivalent of 24 million meals.,We distribute that reclaimed food to pantries  shelters  after-school programs  and other anti-hunger agencies in??40 Michigan counties.,every dollar donated to our organization  we can provide 4 meals to people in need,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FeedingAmericaWestMichigan/,"Mobile Food Pantry  clock
19 April at 16:00???19:00 EDT",NA,NA,26/3/2018,
Foodbank Council of Michigan Inc,0,330 Marshall Street  Suite 102 Lansing  MI 48912 USA,38-2515765,pknight@fbcmich.org,https://www.fbcmich.org/,+1 517-485-1202,Agriculture  food and nutrition,The purpose of FBCM was to implement a unified strategy to address and alleviate hunger statewide by increasing emergency food resources and advocating on behalf of the hunger relief network,At the time  many cities in Michigan faced unprecedented unemployment rates and communities suffered as a result.Michigan food banks stepped in to provide emergency support for families and individuals without enough food.,The Food Bank Council of Michigan???s mission is to create a food secure state through advocacy  resource management  and collaboration among stakeholders and Michigan???s unified food bank network.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FoodBankCouncilMI,NA,NA,NA,26/3/2018,
