organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
ALTERNATIVES OF KALAMAZOO CRISES PREGNANCY CENTER,0,"4200 W Michigan Ave Ste 100 Kalamazoo, MI 49006 USA",38-2850563,NA,www.pregnancychoices.com,269-345-1740,Human Service,Non profit organization,"Alternatives is a non-profit, faith based, pro-life 503(c)3 located in Kalamazoo, MI. Alternatives' mission is to promote the value of human life by serving the unborn and their families through the love of Jesus Christ. Alternatives stives to provide testing, education, and material support while caring for the physical, emotional and spiritual needs of women, men and families within our community.",NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
NEW DAY FOUNDATION FOR FAMILIES,0,"414 S. Main Street Suite 205 Rochester, MI 48307 USA",26-0609040,jo@newdayff.org,www.FoundationforFamilies.org,248-330-0471,Human Service,New Day Foundation for Families is a 501c3 non-profit created to bring financial stability and profound hope to cancer patients and their families.,"New Day was founded in 2007 by Michael and Gina Spehn who both had young children when they lost their spouses to cancer in their thirties (read their story in the NY Times Bestseller ""The Color of Rain""). We are served by a diverse Board of Directors, Advisory Board, and committed volunteer staff.","Sponsorship Opportunities We love our sponsors and donors! You are the life and hope of New Day!  New Day is committed to planning first class events for which you can be proud to attach your name. Please review our menu of sponsorships opportunities for the year and consider the value of bringing hope and help to families fighting cancer, all while having fun and connecting with community. This year we have three events hosted by a third party*??? in other words, no cost to New Day. This means 100% of your sponsorship dollar will go directly to families fighting cancer.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FoundationForFamilies,"Happy Hour for Hope, Thursday, April 19 at 5 PM - 8 PM EDT",NA,NA,03/12/2018,
Michigan Alliance - Pti,0,"1325 S WASHINGTON AVE LANSING, MI 48910 ",26-4301786,NA,www.michiganallianceforfamilies.org,NA,Human Service,Michigan Alliance for Families  is a statewide resource to connect families of children with disabilities to resources to help improve their children???s education.  We help facilitate parent involvement as a means of improving educational services and outcomes for students with disabilities.,"Michigan Alliance for Families provides information, support, and education for families who have children (birth through 26 years of age) who receive (or may be eligible to receive) special education services. This website can help you with finding information on special education issues as well as disability specific information.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/MichiganAllianceForFamilies/,"March 26 in Waterford, 10am-12pm, ","March 27 in Otsego , 6:30-8pm., ","March 28 in Kalamazoo , 8:30am-5pm.",03/12/2018,
Young Men in Transition Inc,0,"440 BURROUGHS-BOX 24 DETROIT, MI 48202 ",80-0282278,NA,www.ymwit.org,313-585-0067,Human Service,"Young Men & Women In Transition (YMWIT), is a non-profit organization providing services to at-risk youth and families.","The mission of Young Men & Women In Transition, Inc. is to transform young men and women into productive citizens primarily through structured mentoring, academic coaching and social skills training that will enhance and develop character and encourage accountability, integrity, dignity, honesty, excellence, positive attitude, self respect and respect for others.",NA,Photo save,NA,313-818-0044,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ymwit/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Charlottes Care,0,"465 Plum St Wyandotte, MI 48192 ",38-2868924,NA,NA,NA,Human Service,Non profit organization,To provide a round the clock care to adults with mental illness.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Lenawee Transportation Corp,0,"135 E Maumee St Adrian, MI 49221 ",38-2239209,cityhall@adrianmi.gov,www.adriancity.com,517-264-4849,Human Service,"Adrian is an all-around great place for adults to live and children to grow up; with its elite schools and its thriving cultural scene, including the historic Croswell Opera House. ",LINE HAUL TRANSPORTATION SYSTEM FOR USE BY THE GENERAL PUBLIC AND HANDICAPPED INDIVIDUALS IN THE COUNTY OF LENAWEE,NA,Photo save,NA,517-263-2161,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/CityofAdrian/about/?ref=page_internal,"2nd Annual Great Lakes Woodworking Festival, Sunday, May 6 at 12 PM - 6 PM EDT, 2300 N. Adrian Hwy, Adrian, Michigan 49221","2018 E-race the Stigma 5k, Sunday, May 20 at 9 AM - 12 PM EDT, 115 Toledo St, Adrian, Michigan 49221",NA,03/12/2018,
Diane Peppler Resource Center Inc,0,"620 E PORTAGE AVE SAULT S MARIE, MI 49783 ",38-2300187,NA,WWW.DPRCENTER.ORG,906-635-0566,Human Service,"Domestic Violence and Sexual Assault Resource Center for Chippewa, Luce & Mackinac Counties","TO PROVIDE AN ATMOSPHERE FREE FROM DOMESTIC AND SEXUAL VIOLENCE IN WHICH SURVIVORS CAN RECOGNIZE THEIR OPTIONS TO HAVE THE OPPORTUNITY TO CONTINUE LIVING VIOLENCE FREE. TO EDUCATE OUR COMMUNITY AND SYSTEMS WITHIN IT THAT DOMESTIC AND SEXUAL VIOLENCE IS PRIMARILTY AGAINST WOMEN AND CHILDREN AND IS THE RESULT OF IMBALANCE OF POWER AND CONTROL. TO PROVIDE ON-GOING PREVENTION PROGRAMS AND SERVICES TO REDUCE THE INCIDENTS OF PHYSICAL AND EMOTIONAL ABUSE AGAINST PARTNERS AND CHILDREN, THEREFORE, CREATING A HEALTHIER ENVIRONMENT.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/dprcenter,"Domestic Assault Survivors, 6:00 pm - 7:00 pm, March 16, 2018","Youth Group , 6:00 pm - 8:00 pm, March 15, 2018","Trauma-informed Survivor Yoga, 10:00 am - 12:00 pm, March 19, 2018",03/12/2018,
Michigan Habilitation & Learning Center Inc,0,"6784 W KNOLLWOOD W BLOOMFIELD , MI 48322 ",38-2886261,NA,NA,248-539-3209,Human Service,Non profit organization,Provide residential care services for developmentally disabled persons in group home setting,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
JUNCTION OF H O P E INC,0,"4136 Peet Rd Chesaning, MI 48616 USA",38-3386485,junctionofhope@yahoo.com,www.junctionofhope.org,989-845-1433,Human Service,"The Junction of Hope is America???s first nonprofit 501(c)3 restaurant. Our mission is to employ adults with special needs in Saginaw, Shiawassee and Genesee Counties. Though we operate as a restaurant, our real purpose is to be an employer of people with special needs. We aim to educate, provide support and guidance, allowing them the opportunity to seek outside employment within our community.","The Junction of H.O.P.E. is America's first nonprofit 501 (c)3 restaurant. Our mission is to employ adults with special needs in Saginaw, Shiawassee and Genesee Counties. Though we operate as a restaurant, our real purpose is to be an employer of people with special needs. We aim to educate, provide support and guidance, allowing them the opportunity to seek outside employment within their community.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/TheJunctionOfHope,NA,NA,NA,03/12/2018,
Community Sharing,0,"PO BOX 405 HIGHLAND , MI 48357 ",90-0175714,NA,WWW.COMMUNITY-SHARING.ORG,248-889-0347,Human Service,"We provide food, clothing and financial assistance, tutoring and more thru the generous donations from our local community.","TO PROVIDE FOOD, CLOTHING, EDUCATION AND EMERGENCY FINANCIAL ASSISTANCE TO THOSE IN NEED WHILE RESPECTING THEIR DIGNITY AND FOSTERING THEIR INDEPENDENCE.","We welcome volunteers to help out in all facets of our organization including the food pantry, clothes closet, office assistance and pet pantry. We always need help with our fantastic Garage Sale & Empty Bowl Projects and other fun fundraising endeavors. And, our Educational Assistance Tutoring Program is a great place to volunteer... you can make a difference in a child's life. It's easy to volunteer. Just send us an email indicating your area of interest. Our volunteer coordinator will contact you to discuss your interests and invite you to the next orientation. All volunteers must attend an orientation so that the mission of Community Sharing is consistently presented.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/CommunitySharingOutreach/,"Milford Easter Dash, Saturday, March 31 at 8:30 AM - 11 AM EDT, Oak Pointe Church - Milford, 1250 South Hill Rd, Milford 48381",NA,NA,03/12/2018,
Association for Little Friends Inc,0,"1025 MAAS ST NEGAUNEE , MI 49866 ",38-2132829,NA,NA,906-475-4942,Human Service,Non profit organization,"PROVIDE DAY CARE SERVICES TO CHILDREN ON A NON-DISCRIMINATORY OPPORTUNITY BASIS WITHOUT REGARD TO THEIR RACE, CREED, RELIGION, SEX OR ABILITY TO PAY",NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Vocational Independence Program Transportation VIP,0,"G5069 VAN SLYKE ROAD, FLINT, MI 48507",27-0864763,lindell@viprogram.org,http://viprogram.org/contact.html,(810) 238-3671,Human Service,"Vocational Skill Building,Skill Building (Without a Vocational Emphasis),Supported/Integrated Employment Services,Door to Door Transportation","Skill Building Service works to achieve improved quality of life for the individuals enrolled, and to optimize the employability options for most.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Faith Connections Inc,0,"22231 Outer Dr,Dearborn , MI 48124",13-4212777,NA,NA,313-565-8655,Human Service,"To provide public guardianship services to developmentally disabled and mentally ill individuals, many of the clients are indigent.",provide public guardianship services to developmentally disabled and mentally ill individuals,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Carsons Adult Foster Care Inc,0,"19384 James Couzens Fwy,Detroit, MI 48235",38-2125144??,NA,NA,(313) 863-7050??,Human Service,RESIDENTIAL CARE & SUPPORT SERVICE,RESIDENTIAL CARE & SUPPORT SERVICE,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Heal Africa,0,"PO Box 545,Caledonia, MI 49316 USA",20-4104936,??contact-us@healafrica.org,https://healafrica.org/,(269) 205-2010,Human Service,"HEAL Africa compassionately serves vulnerable people and communities through a holistic approach to Healthcare, Education, community Action, and Leadership development in response to changing needs.","We work in a very challenging context, surrounded by poverty and conflict. Isolated from the world by both distance and information, we recognize the importance of partnerships in order to grow and improve our services.??",NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Little Red House Inc,0,"311 E EXCHANGE ST,SPRING LAKE , MI 49456",35-2119160,NA,http://www.thelittleredhouse.org/contact/,(616) 846-5720,Human Service,"provide a professional and delightful home-like atmosphere for those adults in our community who are struggling with physical, cognitive and psychosocial limitations","Certified health-care providers and trained caregivers are on hand to meet participants??? needs with skillful, thoughtful attention",Participants enjoy an exceptional adult day care experience in a safe and welcoming setting,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/thelittleredhouseinc/,Meetings held every Thursday morning from 10:00am ??? 11:00am at The Little Red House.,NA,NA,03/12/2018,
Inpro Enterprises Inc,0,"39000 CHASE ST,ROMULUS, MI 48174",27-4617529,NA,https://www.inproenterprises.org/,734-893-1167,Human Service,"InPro Enterprises helps people with brain injuries, spinal cord injuries and other disabilities find increased independence and productivity through innovative vocational rehabilitation programs.","Caring, experienced professionals work with each individual to identify their vocational capabilities, strengths, and occupational needs and goals.",NA,Photo save,"3990 Second Street Wayne, MI 48184",(734) 331-9075,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Samaritan House,0,"62324 VAN DYKE RD,WASHINGTN TWP , MI 48094",38-3213283,samaritanhouse@sbcglobal.net,http://www.samaritanhousemichigan.org/home,586-336-9956,Human Service,Samaritan House provides assistance to low income families and individuals who reside within our??service area,"We provide help to poor through Food Distribution,Shelter & Utility Assistance,Free Tax Preparation Program,Back-to-School Backpacks and other assistance
",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/SamaritanHouse/,??20th Annual Samaritan House Golf Outing,NA,NA,03/12/2018,
Lee Homes Inc,0,"215 E COMMERCE ST,MILFORD, MI 48381",38-2139723,NA,NA,2486852052,Human Service,Operate residential care facilities that house provide for developmentally-disabled adults.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Family Service of Detroit and Wayne County,0,"120 Parsons St,Detroit, MI 48201",38-1358187,rreed@fsiwc.org,www.fsiwc.org,(313)274-5840,Human Service,THE PRIMARY PURPOSE OF THE ORGANIZATION IS TO STRENGTHEN & ENHANCE FAMILY LIFE IN THE COMMUNITY.,NA,NA,NA,NA,NA,This organization is not required to file an annual return with the IRS.,NA,NA,NA,NA,03/12/2018,
Allen Neighborhood Center,0,"1611 E KALAMAZOO ST,LANSING, MI 48912",38-3502484,joann@allenneighborhoodcenter.org,http://allenneighborhoodcenter.org/,5173672468,Human Service,Allen Neighborhood Center is a place-based organization that serves as a hub for neighborhood revitalization and for activities that promote the health and well-being of Lansing???s Eastside community and other stakeholders.,"Our programs are Outreach and Engagement,Food and Building Community",NA,Photo save,NA,NA,This organization is not required to file an annual return with the IRS.,https://www.facebook.com/AllenNeighborhoodCenter/,Breadbasket (Every Tuesday),Allen Farmers Market(Every Wednesday),NA,03/12/2018,
